node,node_lat,node_lon,ts,num,rssi,tag,tag_lat,tag_lon,tag_speed,dist_m,received
node15,-2.0349854,147.279039,2025-02-03 12:34:59,1263,-34.5844618972,KMBA_04A31607C091,50.44,52.94,4.58,476,false
node18,56.1865953,42.1663109,2025-02-20 08:44:30,1007,-10.5531524418,KMBA_04A31607C091,53.17,55.7,2.42,417,true
node36,35.1799817,128.1076213,2025-02-19 19:53:27,1028,-14.7365320084,KMBA_04A31607C091,56.28,57.96,3.21,7,false
node21,64.128759,29.5197329,2025-02-03 06:05:56,425,-12.3525426281,KMBA_04A31607C091,50.64,51.45,3.54,906,true
node21,27.955261,112.497228,2025-02-12 06:50:37,508,-12.2178187747,KMBA_04A31607C091,52.25,57.62,4.5,868,false
node04,15.5356992,120.5285998,2025-02-18 14:11:06,608,-16.6594832699,KMBA_04A31607C091,50.91,53.23,3.73,285,false
node04,49.9521852,18.4800457,2025-02-15 02:12:41,1135,-16.246336834,KMBA_04A31607C091,54.04,53.33,3.3,558,false
node27,35.89333,14.39889,2025-02-24 09:30:57,431,-10.603326368,KMBA_04A31607C091,52.85,59.04,4.49,775,true
node04,-6.8546403,107.4293388,2025-02-27 15:51:12,319,-12.5504497949,KMBA_04A31607C091,53.44,58.66,2.18,233,true
node33,50.5037851,14.7986888,2025-02-26 13:40:11,487,-15.097039351,KMBA_04A31607C091,53.88,55.56,4.57,921,false
node35,-7.7280457,110.2325862,2025-02-11 05:36:18,781,-10.8312880213,KMBA_04A31607C091,54.93,59.03,1.2,621,true
node15,45.3612879,18.693916,2025-02-03 01:26:40,926,-11.3057231347,KMBA_04A31607C091,53.86,58.94,1.55,963,false
node04,28.407117,117.596452,2025-02-17 17:24:42,746,-10.3370586241,KMBA_04A31607C091,57.68,56.42,3.06,42,false
node27,23.714316,103.267142,2025-02-19 15:59:42,1375,-11.7504838212,KMBA_04A31607C091,55.1,50.3,4.56,558,true
node27,39.932447,116.430976,2025-02-02 14:17:53,1366,-11.4132562584,KMBA_04A31607C091,57.22,54.59,1.86,649,false
node33,52.0601406,31.1836671,2025-02-06 21:23:59,1261,-31.8025638654,KMBA_04A31607C091,57.45,54.49,4.53,957,true
node27,37.1321706,26.8529432,2025-02-19 06:14:47,538,-14.595242156,KMBA_04A31607C091,53.09,54.64,4.32,542,true
node04,-24.8096387,-56.5196111,2025-02-01 23:13:35,310,-15.424268899,KMBA_04A31607C091,56.85,56.29,4.38,342,true
node33,47.545979,19.0375319,2025-02-22 10:04:55,888,-12.1334468931,KMBA_04A31607C091,50.36,55.27,3.59,162,true
node35,29.750877,-7.9756343,2025-02-02 22:06:22,431,-11.2074828785,KMBA_04A31607C091,50.39,56.1,3.91,886,true
node27,31.018498,109.463987,2025-02-25 19:19:53,957,-20.5060599173,KMBA_04A31607C091,53.29,56.57,4.28,594,false
node21,56.3103675,38.1016955,2025-02-25 15:27:09,1557,-16.6935861337,KMBA_04A31607C091,53.41,57.39,1.68,158,false
node04,35.9438023,68.7095356,2025-02-12 07:20:01,747,-11.3409042311,KMBA_04A31607C091,58.75,58.62,1.19,62,false
node04,40.1145846,44.2706023,2025-02-18 05:39:10,511,-10.6009562569,KMBA_04A31607C091,54.3,54.32,2.08,725,true
node15,15.113515,-89.362656,2025-02-20 06:01:20,432,-12.2772396083,KMBA_04A31607C091,52.01,55.23,4.26,224,false
node36,37.8269697,23.9667402,2025-02-16 08:10:06,1032,-13.3905994467,KMBA_04A31607C091,55.01,55.08,3.87,477,true
node04,31.221062,121.436555,2025-02-23 08:00:46,595,-10.1520398474,KMBA_04A31607C091,55.07,52.43,3.81,511,false
node35,46.3940407,14.4979088,2025-02-18 12:53:04,672,-12.2586268992,KMBA_04A31607C091,57.46,59.23,3.84,662,false
node27,-28.7840394,-51.6077771,2025-02-04 04:38:22,699,-10.2738898738,KMBA_04A31607C091,56.07,56.29,3.15,893,false
node04,48.0323166,25.7230239,2025-02-18 09:10:15,1597,-15.0306883995,KMBA_04A31607C091,56.41,59.45,1.14,569,true
node02,-34.9044677,-58.5743103,2025-02-22 15:43:56,439,-14.4257259851,KMBA_04A31607C091,59.06,55.29,1.03,812,false
node33,0.6183138,-77.9424531,2025-02-02 01:34:32,764,-15.5492423345,KMBA_04A31607C091,55.57,58.11,4.8,541,false
node02,43.4945737,5.8978018,2025-02-19 20:13:30,533,-10.4062795969,KMBA_04A31607C091,53.17,54.97,1.01,697,true
node02,36.3573462,25.4459308,2025-02-14 08:57:02,505,-16.4604633927,KMBA_04A31607C091,58.44,53.52,2.68,925,false
