node,node_lat,node_lon,ts,num,rssi,tag,tag_lat,tag_lon,tag_speed,dist_m,received
node15,12.2732631,-16.1669156,2025-01-25 23:11:14,1510,-10.858345932,KMBA_04A31607C091,53.68,53.45,3.75,873,true
node18,-0.6004131,100.6534443,2025-01-17 10:46:22,1120,-11.8543253718,KMBA_04A31607C091,53.52,50.04,4.77,548,true
node18,22.265811,113.543784,2025-01-30 22:26:19,1307,-11.9401185057,KMBA_04A31607C091,54.11,50.22,1.01,927,true
node27,38.914003,121.614682,2025-01-16 11:42:10,1543,-16.0762888702,KMBA_04A31607C091,57.47,58.79,4.04,234,true
node15,27.386227,89.2776017,2025-01-20 19:59:18,901,-17.2087875411,KMBA_04A31607C091,54.16,51.08,4.68,701,false
node27,-25.4372113,-55.093449,2025-01-08 16:38:54,1099,-15.8956292816,KMBA_04A31607C091,52.76,51.33,1.9,310,true
node35,54.7180477,18.4086339,2025-01-13 11:14:57,1521,-20.0829475316,KMBA_04A31607C091,51.55,58.14,1.42,718,false
node21,43.6085373,1.4525313,2025-01-04 05:25:11,947,-15.4294614794,KMBA_04A31607C091,56.36,57.11,2.62,932,true
node33,-7.3582578,109.540241,2025-01-17 01:48:16,639,-13.5991153761,KMBA_04A31607C091,52.67,58.82,2.95,666,true
node04,40.2544003,44.6027766,2025-01-22 23:18:03,1360,-14.4337686013,KMBA_04A31607C091,51.98,56.61,4.8,886,false
node27,17.310993,100.6872457,2025-01-13 18:44:50,434,-13.2061030656,KMBA_04A31607C091,53.1,53.19,4.14,139,true
node33,50.4011293,22.904714,2025-01-30 20:36:37,881,-13.0789772232,KMBA_04A31607C091,59.22,57.18,4.29,315,true
node04,-8.452,115.262,2025-01-28 13:49:57,1020,-14.5805855892,KMBA_04A31607C091,51.88,55.24,4.82,533,false
node15,38.9083752,-9.050741,2025-01-24 16:44:45,342,-11.1227875921,KMBA_04A31607C091,51.52,50.01,2.27,632,true
node27,43.6051078,73.7631135,2025-01-09 08:29:42,577,-17.6898323784,KMBA_04A31607C091,53.59,57.87,4.18,496,true
node36,25.606486,100.267638,2025-01-18 15:04:13,1328,-11.3651505411,KMBA_04A31607C091,54.32,58.66,4.07,400,false
node02,69.0474473,33.2898473,2025-01-22 03:47:12,763,-29.9601856691,KMBA_04A31607C091,57.54,55.3,2.41,126,false
node04,28.188157,121.030159,2025-01-17 03:51:14,510,-17.3360041168,KMBA_04A31607C091,53.59,58.11,2.48,857,false
node04,25.5784559,51.4821387,2025-01-08 04:31:24,1116,-20.7369890278,KMBA_04A31607C091,50.8,50.29,4.41,623,true
node18,-24.0416026,-52.3693218,2025-01-15 07:53:58,936,-12.7993366024,KMBA_04A31607C091,53.25,50.32,1.52,259,false
node27,35.1973352,136.9552596,2025-01-10 09:26:50,1349,-21.4570147557,KMBA_04A31607C091,56.61,56.96,4.63,973,true
node15,-8.2182795,112.2950314,2025-01-03 10:05:10,749,-20.0018090712,KMBA_04A31607C091,56.31,56.88,2.24,677,false
node36,38.838392,99.617119,2025-01-14 21:05:35,1141,-18.4799343928,KMBA_04A31607C091,51.91,50.21,4.1,912,false
node02,69.692947,170.399612,2025-01-20 14:15:31,1317,-16.4984349261,KMBA_04A31607C091,50.17,59.63,4.44,969,true
node35,-6.8734228,107.074614,2025-01-12 16:55:37,1431,-14.1899226105,KMBA_04A31607C091,51.77,50.29,1.73,963,false
node02,-23.4794456,-46.382126,2025-01-12 01:04:04,718,-13.6397418498,KMBA_04A31607C091,52.46,50.07,3.95,282,true
node21,8.7178672,-11.951925,2025-01-16 11:13:57,1242,-10.1336964589,KMBA_04A31607C091,50.44,55.87,3.31,731,false
node02,57.7314074,12.0595845,2025-01-17 05:42:07,441,-11.5277298066,KMBA_04A31607C091,57.14,58.85,3.84,996,false
node18,-8.3004413,115.0881146,2025-01-18 08:23:19,713,-10.3090894904,KMBA_04A31607C091,58.5,50.08,3.15,838,false
node04,-15.8272432,-50.265662,2025-01-17 12:17:29,1575,-23.4486767334,KMBA_04A31607C091,58.46,50.21,3.59,334,true
node21,-7.0124761,111.4812472,2025-01-04 18:48:39,456,-10.3800262147,KMBA_04A31607C091,59.46,56.97,1.82,643,false
node02,-8.6028125,121.8135556,2025-01-20 12:55:42,1228,-17.1941028477,KMBA_04A31607C091,56.94,57.45,1.54,66,true
node18,39.302799,77.823975,2025-01-15 15:03:20,1026,-15.0332051256,KMBA_04A31607C091,51.42,52.84,4.16,497,true
node36,41.985186,122.836723,2025-01-02 04:03:03,1055,-18.4681693502,KMBA_04A31607C091,54.37,59.34,2.5,488,false
node18,14.4547788,120.5851587,2025-01-16 18:15:24,1184,-14.1734340341,KMBA_04A31607C091,57.49,50.36,1.3,807,false
node27,-10.7386421,123.1239049,2025-01-16 20:22:23,1342,-14.4312141629,KMBA_04A31607C091,52.49,58.05,3.06,520,false
node02,16.2107446,102.4839212,2025-01-29 20:23:43,776,-11.249424949,KMBA_04A31607C091,53.06,51.75,4.23,951,true
node15,35.580629,104.610668,2025-01-04 16:15:27,499,-12.3799010738,KMBA_04A31607C091,55.54,50.12,4.44,678,true
node36,4.6690872,-74.1386906,2025-01-30 13:49:40,1444,-15.0602269449,KMBA_04A31607C091,55.31,56.15,2.48,228,true
node18,30.20856,120.211816,2025-01-15 13:22:28,611,-14.4538452621,KMBA_04A31607C091,51.46,54.29,1.88,237,true
node02,34.5553494,69.207486,2025-01-24 15:55:49,1116,-10.5463080881,KMBA_04A31607C091,51.78,58.1,1.55,899,true
node36,29.2604745,80.9318332,2025-01-13 16:55:10,1231,-12.2787445335,KMBA_04A31607C091,54.21,59.62,4.2,344,false
node15,6.014237,124.5885259,2025-01-28 02:00:44,403,-12.5537270271,KMBA_04A31607C091,53.98,52.42,1.32,297,false
node02,52.0404797,76.9262526,2025-01-18 04:34:25,921,-10.4895376462,KMBA_04A31607C091,55.39,51.2,1.31,845,true
node36,34.620202,112.453926,2025-01-12 02:26:35,1205,-12.4884748845,KMBA_04A31607C091,51.54,57.6,1.14,535,false
node02,-6.9175575,111.5140386,2025-01-19 00:31:09,1491,-10.7825797457,KMBA_04A31607C091,53.72,51.92,2.19,699,false
node33,29.9518573,-90.067925,2025-01-23 15:55:32,1477,-13.1041966232,KMBA_04A31607C091,54.06,59.81,4.44,168,true
node21,26.444341,115.699778,2025-01-16 19:05:25,1343,-34.0473385612,KMBA_04A31607C091,53.93,56.46,3.63,42,true
node36,-26.7816035,31.9302449,2025-01-09 18:29:21,1009,-10.866771578,KMBA_04A31607C091,53.35,54.59,3.44,526,true
node18,18.412445,109.971328,2025-01-08 00:04:02,779,-14.5525158468,KMBA_04A31607C091,51.88,52.22,3.24,659,false
node18,56.7402899,24.7181651,2025-01-25 07:54:03,1501,-14.6576443687,KMBA_04A31607C091,56.38,58.13,3.49,855,false
node36,-6.8544539,106.5230542,2025-01-11 18:04:13,1439,-26.6025666847,KMBA_04A31607C091,56.77,50.75,3.33,695,false
node04,-8.5392331,116.4134873,2025-01-01 19:59:55,1074,-18.7452879122,KMBA_04A31607C091,51.34,57.53,3.89,376,true
node18,43.1905743,3.0057099,2025-01-09 11:35:33,531,-14.088857528,KMBA_04A31607C091,55.84,58.93,1.79,256,false
node15,18.4489182,-69.9865207,2025-01-30 20:10:15,871,-11.0487793029,KMBA_04A31607C091,58.35,55.21,3.62,736,false
node33,33.6289952,-112.1370601,2025-01-27 12:16:20,1363,-16.9627571975,KMBA_04A31607C091,59.68,59.55,3.59,202,true
node27,36.6085381,44.5238693,2025-01-25 19:04:10,389,-10.5903455139,KMBA_04A31607C091,53.83,52.92,1.27,483,false
node21,59.6830824,16.6105826,2025-01-05 19:19:21,764,-16.7266973607,KMBA_04A31607C091,59.45,59.68,4.37,237,false
node18,30.3776024,-81.5870604,2025-01-22 11:05:50,1535,-10.4248852578,KMBA_04A31607C091,53.85,53.96,4.89,640,false
node21,13.4794397,-16.6703963,2025-01-22 08:57:16,380,-14.9127611227,KMBA_04A31607C091,58.21,59.17,1.27,89,false
node18,20.8444995,104.6412925,2025-01-19 09:05:50,743,-14.1141133027,KMBA_04A31607C091,51.45,53.23,2.38,599,false
node21,28.505971,113.329871,2025-01-07 05:33:02,327,-11.8338453144,KMBA_04A31607C091,56.01,56.38,2.55,740,true
node04,56.8593954,16.8197697,2025-01-01 14:15:59,1048,-12.1149033318,KMBA_04A31607C091,50.66,54.12,3.74,195,true
node21,60.4783655,15.3710047,2025-01-03 20:51:24,1257,-15.5108422741,KMBA_04A31607C091,51.05,51.99,3.91,129,false
node18,-10.5102117,-37.0530033,2025-01-05 10:55:53,1203,-17.9008536753,KMBA_04A31607C091,54.95,59.42,2.33,287,false
node18,-6.7726186,110.8791343,2025-01-14 07:08:06,712,-10.5373176697,KMBA_04A31607C091,59.04,56.47,1.77,463,false
node18,58.00284,55.6720592,2025-01-09 04:25:46,1297,-10.4262913734,KMBA_04A31607C091,55.81,54.48,2.57,257,true
node35,-23.4739979,-53.088539,2025-01-19 12:24:00,975,-15.5881851835,KMBA_04A31607C091,53.23,54.79,1.45,554,false
node36,23.438818,112.018204,2025-01-19 10:18:26,1190,-10.9347417889,KMBA_04A31607C091,55.11,58.94,1.17,350,false
node02,14.0899827,101.2750531,2025-01-10 04:39:41,385,-11.2935431986,KMBA_04A31607C091,56.13,59.74,3.77,942,false
node35,-6.500489,106.6560345,2025-01-25 00:43:20,738,-22.1004126015,KMBA_04A31607C091,50.68,53.96,3.54,135,true
node33,52.6523079,41.4346698,2025-01-18 21:09:53,1214,-17.3895601998,KMBA_04A31607C091,56.91,56.84,2.17,383,false
node02,52.2572052,18.3266994,2025-01-13 11:16:06,716,-21.9530402153,KMBA_04A31607C091,54.0,53.36,1.94,476,false
node33,-19.5365508,-40.6258001,2025-01-10 20:30:01,1410,-14.603525349,KMBA_04A31607C091,57.4,59.19,1.46,294,false
node02,-34.3306245,-58.7896017,2025-01-30 03:15:48,1413,-11.6741676876,KMBA_04A31607C091,52.62,55.97,1.51,872,true
node18,9.9152376,123.9321966,2025-01-05 15:31:53,707,-15.0358277309,KMBA_04A31607C091,52.66,54.89,1.75,770,false
node33,49.0122792,17.2425732,2025-01-29 20:19:45,457,-10.3957053863,KMBA_04A31607C091,53.13,59.81,3.36,34,true
node27,24.908293,102.650211,2025-01-12 17:50:26,1058,-20.014934089,KMBA_04A31607C091,59.03,52.67,1.43,600,false
node18,59.6715102,12.6108644,2025-01-08 08:43:46,1573,-11.3979660587,KMBA_04A31607C091,57.32,53.2,1.35,431,false
node35,11.5291917,8.6573084,2025-01-16 08:26:50,1258,-15.538473271,KMBA_04A31607C091,55.69,58.55,4.33,596,true
node35,59.0541421,12.695366,2025-01-24 09:21:23,670,-12.0579226724,KMBA_04A31607C091,57.69,55.77,1.23,215,true
